2118371 data samples found
Train Epoch: 0 [0/169469 (0.04920889809727669)]
Train Epoch: 0 [100/169469 (0.0297407153993845)]
Train Epoch: 0 [200/169469 (0.06368368119001389)]
Train Epoch: 0 [300/169469 (0.02567908726632595)]
Train Epoch: 0 [400/169469 (0.04393894597887993)]
Train Epoch: 0 [500/169469 (0.05605436488986015)]
Train Epoch: 0 [600/169469 (0.03486309573054314)]
Train Epoch: 0 [700/169469 (0.04641397297382355)]
Train Epoch: 0 [800/169469 (0.032363321632146835)]
Train Epoch: 0 [900/169469 (0.08247613161802292)]
Train Epoch: 0 [1000/169469 (0.05535980686545372)]
Train Epoch: 0 [1100/169469 (0.09575336426496506)]
Train Epoch: 0 [1200/169469 (0.022633550688624382)]
Train Epoch: 0 [1300/169469 (0.05897221714258194)]
Train Epoch: 0 [1400/169469 (0.04904717952013016)]
Train Epoch: 0 [1500/169469 (0.025659335777163506)]
Train Epoch: 0 [1600/169469 (0.04435889422893524)]
Train Epoch: 0 [1700/169469 (0.0580487959086895)]
Train Epoch: 0 [1800/169469 (0.04032798483967781)]
Train Epoch: 0 [1900/169469 (0.031147504225373268)]
Train Epoch: 0 [2000/169469 (0.03867102414369583)]
Train Epoch: 0 [2100/169469 (0.058457788079977036)]
Train Epoch: 0 [2200/169469 (0.05438251048326492)]
Train Epoch: 0 [2300/169469 (0.049887578934431076)]
Train Epoch: 0 [2400/169469 (0.040630485862493515)]
Train Epoch: 0 [2500/169469 (0.043548863381147385)]
Train Epoch: 0 [2600/169469 (0.03686441853642464)]
Train Epoch: 0 [2700/169469 (0.037368301302194595)]
Train Epoch: 0 [2800/169469 (0.044530924409627914)]
Train Epoch: 0 [2900/169469 (0.07193049043416977)]
Train Epoch: 0 [3000/169469 (0.035668302327394485)]
Train Epoch: 0 [3100/169469 (0.021373480558395386)]
Train Epoch: 0 [3200/169469 (0.05447249487042427)]
Train Epoch: 0 [3300/169469 (0.026994122192263603)]
Train Epoch: 0 [3400/169469 (0.024185387417674065)]
Train Epoch: 0 [3500/169469 (0.041737884283065796)]
Train Epoch: 0 [3600/169469 (0.06313007324934006)]
Train Epoch: 0 [3700/169469 (0.03950342908501625)]
Train Epoch: 0 [3800/169469 (0.037665098905563354)]
Train Epoch: 0 [3900/169469 (0.05834135040640831)]
Train Epoch: 0 [4000/169469 (0.0712190791964531)]
Train Epoch: 0 [4100/169469 (0.058288928121328354)]
Train Epoch: 0 [4200/169469 (0.05759146809577942)]
Train Epoch: 0 [4300/169469 (0.03605794534087181)]
Train Epoch: 0 [4400/169469 (0.040350787341594696)]
Train Epoch: 0 [4500/169469 (0.034806955605745316)]
Train Epoch: 0 [4600/169469 (0.02553042769432068)]
Train Epoch: 0 [4700/169469 (0.033694978803396225)]
Train Epoch: 0 [4800/169469 (0.016951141878962517)]
Train Epoch: 0 [4900/169469 (0.0494852177798748)]
Train Epoch: 0 [5000/169469 (0.06131668761372566)]
Train Epoch: 0 [5100/169469 (0.0432748980820179)]
Train Epoch: 0 [5200/169469 (0.04627463221549988)]
Train Epoch: 0 [5300/169469 (0.02677970565855503)]
Train Epoch: 0 [5400/169469 (0.024099383503198624)]
Train Epoch: 0 [5500/169469 (0.03110194206237793)]
Train Epoch: 0 [5600/169469 (0.02204241044819355)]
Train Epoch: 0 [5700/169469 (0.045038189738988876)]
Train Epoch: 0 [5800/169469 (0.03184819221496582)]
Train Epoch: 0 [5900/169469 (0.05178530886769295)]
Train Epoch: 0 [6000/169469 (0.021288245916366577)]
Train Epoch: 0 [6100/169469 (0.06354818493127823)]
Train Epoch: 0 [6200/169469 (0.05660640075802803)]
Train Epoch: 0 [6300/169469 (0.053500350564718246)]
Train Epoch: 0 [6400/169469 (0.06506205350160599)]
Train Epoch: 0 [6500/169469 (0.05569428950548172)]
Train Epoch: 0 [6600/169469 (0.03125039115548134)]
Train Epoch: 0 [6700/169469 (0.019578376784920692)]
Train Epoch: 0 [6800/169469 (0.034944258630275726)]
Train Epoch: 0 [6900/169469 (0.04673777520656586)]
Train Epoch: 0 [7000/169469 (0.014789151959121227)]
Train Epoch: 0 [7100/169469 (0.04029705002903938)]
Train Epoch: 0 [7200/169469 (0.039820145815610886)]
Train Epoch: 0 [7300/169469 (0.02029452659189701)]
Train Epoch: 0 [7400/169469 (0.03334804251790047)]
Train Epoch: 0 [7500/169469 (0.041847873479127884)]
Train Epoch: 0 [7600/169469 (0.0361020527780056)]
Train Epoch: 0 [7700/169469 (0.05518544837832451)]
Train Epoch: 0 [7800/169469 (0.053568579256534576)]
