2118371 data samples found
Train Epoch: 0 [0/52959 (0.4575052857398987)]
Train Epoch: 0 [100/52959 (0.015205640345811844)]
Train Epoch: 0 [200/52959 (0.014523854479193687)]
Train Epoch: 0 [300/52959 (0.007736901752650738)]
Train Epoch: 0 [400/52959 (0.008898064494132996)]
Train Epoch: 0 [500/52959 (0.008785724639892578)]
Train Epoch: 0 [600/52959 (0.0076055279932916164)]
Train Epoch: 0 [700/52959 (0.010886539705097675)]
Train Epoch: 0 [800/52959 (0.01397368498146534)]
Train Epoch: 0 [900/52959 (0.009067418053746223)]
Train Epoch: 0 [1000/52959 (0.019244158640503883)]
Train Epoch: 0 [1100/52959 (0.008490333333611488)]
Train Epoch: 0 [1200/52959 (0.009068294428288937)]
Train Epoch: 0 [1300/52959 (0.011497731320559978)]
Train Epoch: 0 [1400/52959 (0.009907825849950314)]
Train Epoch: 0 [1500/52959 (0.01204761303961277)]
Train Epoch: 0 [1600/52959 (0.009833849035203457)]
Train Epoch: 0 [1700/52959 (0.009596442803740501)]
Train Epoch: 0 [1800/52959 (0.009593059308826923)]
Train Epoch: 0 [1900/52959 (0.007020249962806702)]
Train Epoch: 0 [2000/52959 (0.012039149180054665)]
Train Epoch: 0 [2100/52959 (0.011274770833551884)]
Train Epoch: 0 [2200/52959 (0.006658550351858139)]
Train Epoch: 0 [2300/52959 (0.006541716866195202)]
Train Epoch: 0 [2400/52959 (0.010798551142215729)]
Train Epoch: 0 [2500/52959 (0.006741194985806942)]
Train Epoch: 0 [2600/52959 (0.008623243309557438)]
Train Epoch: 0 [2700/52959 (0.008527994155883789)]
Train Epoch: 0 [2800/52959 (0.015598425641655922)]
Train Epoch: 0 [2900/52959 (0.006290169432759285)]
Train Epoch: 0 [3000/52959 (0.022190991789102554)]
Train Epoch: 0 [3100/52959 (0.015913035720586777)]
Train Epoch: 0 [3200/52959 (0.008124708198010921)]
Train Epoch: 0 [3300/52959 (0.009636146947741508)]
Train Epoch: 0 [3400/52959 (0.007580767385661602)]
Train Epoch: 0 [3500/52959 (0.011807158589363098)]
Train Epoch: 0 [3600/52959 (0.010075111873447895)]
Train Epoch: 0 [3700/52959 (0.012495988979935646)]
Train Epoch: 0 [3800/52959 (0.021691247820854187)]
Train Epoch: 0 [3900/52959 (0.004916885867714882)]
Train Epoch: 0 [4000/52959 (0.015213444828987122)]
Train Epoch: 0 [4100/52959 (0.018481452018022537)]
Train Epoch: 0 [4200/52959 (0.006147054955363274)]
Train Epoch: 0 [4300/52959 (0.008105783723294735)]
Train Epoch: 0 [4400/52959 (0.007903444580733776)]
Train Epoch: 0 [4500/52959 (0.011985029093921185)]
