nohup: ignoring input
Namespace(batch_size=64, clip=0.4, cuda=False, gpus='0', lr=0.1, momentum=0.9, nEpochs=50, pretrained='', resume='', start_epoch=1, step=10, threads=1, weight_decay=0.0001)
Random Seed:  2660
===> Loading datasets
2118371 data samples found
===> Building model
/home/me-user/anaconda3/envs/mullenj/lib/python3.8/site-packages/torch/nn/_reduction.py:44: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
===> Setting GPU
===> Setting Optimizer
===> Training
Epoch = 1, lr = 0.1
main_vdsr.py:148: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  nn.utils.clip_grad_norm(model.parameters(),opt.clip)
===> Epoch[1](0/26479): Loss: 149533.5156250000
===> Epoch[1](1/26479): Loss: 81916.5000000000
===> Epoch[1](2/26479): Loss: 41680.0546875000
===> Epoch[1](3/26479): Loss: 875411.7500000000
===> Epoch[1](4/26479): Loss: 181646.9062500000
===> Epoch[1](5/26479): Loss: 31504.9414062500
===> Epoch[1](6/26479): Loss: 14116.8085937500
===> Epoch[1](7/26479): Loss: 113506.5234375000
===> Epoch[1](8/26479): Loss: 22990.6523437500
===> Epoch[1](9/26479): Loss: 24307.5390625000
===> Epoch[1](10/26479): Loss: 27766.9824218750
===> Epoch[1](11/26479): Loss: 39461.2070312500
===> Epoch[1](12/26479): Loss: 21019.4863281250
===> Epoch[1](13/26479): Loss: 10844.3281250000
===> Epoch[1](14/26479): Loss: 14903.5820312500
===> Epoch[1](15/26479): Loss: 16491.4453125000
===> Epoch[1](16/26479): Loss: 14533.5117187500
===> Epoch[1](17/26479): Loss: 13564.7578125000
===> Epoch[1](18/26479): Loss: 17367.4824218750
===> Epoch[1](19/26479): Loss: 10309.0605468750
===> Epoch[1](20/26479): Loss: 15324.4248046875
===> Epoch[1](21/26479): Loss: 13889.3378906250
===> Epoch[1](22/26479): Loss: 15313.7480468750
===> Epoch[1](23/26479): Loss: 13514.0498046875
===> Epoch[1](24/26479): Loss: 23734.5312500000
===> Epoch[1](25/26479): Loss: 14527.8945312500
===> Epoch[1](26/26479): Loss: 17425.1875000000
===> Epoch[1](27/26479): Loss: 22721.0722656250
===> Epoch[1](28/26479): Loss: 21831.5742187500
===> Epoch[1](29/26479): Loss: 17504.3007812500
===> Epoch[1](30/26479): Loss: 14244.5625000000
===> Epoch[1](31/26479): Loss: 13607.4082031250
===> Epoch[1](32/26479): Loss: 11428.0546875000
===> Epoch[1](33/26479): Loss: 11235.1474609375
===> Epoch[1](34/26479): Loss: 12654.0371093750
===> Epoch[1](35/26479): Loss: 23779.7519531250
===> Epoch[1](36/26479): Loss: 13304.4863281250
===> Epoch[1](37/26479): Loss: 12369.3925781250
===> Epoch[1](38/26479): Loss: 13216.6611328125
===> Epoch[1](39/26479): Loss: 11257.2031250000
===> Epoch[1](40/26479): Loss: 10244.4697265625
===> Epoch[1](41/26479): Loss: 11914.9492187500
===> Epoch[1](42/26479): Loss: 16585.1992187500
===> Epoch[1](43/26479): Loss: 16891.9218750000
===> Epoch[1](44/26479): Loss: 9992.2675781250
===> Epoch[1](45/26479): Loss: 19483.9531250000
===> Epoch[1](46/26479): Loss: 9434.7128906250
===> Epoch[1](47/26479): Loss: 12823.0615234375
===> Epoch[1](48/26479): Loss: 12567.5625000000
===> Epoch[1](49/26479): Loss: 17433.3300781250
===> Epoch[1](50/26479): Loss: 11905.1132812500
===> Epoch[1](51/26479): Loss: 11805.1875000000
===> Epoch[1](52/26479): Loss: 14223.5058593750
===> Epoch[1](53/26479): Loss: 14583.8417968750
===> Epoch[1](54/26479): Loss: 17567.0039062500
===> Epoch[1](55/26479): Loss: 10738.1220703125
===> Epoch[1](56/26479): Loss: 15072.8681640625
===> Epoch[1](57/26479): Loss: 15060.7724609375
===> Epoch[1](58/26479): Loss: 11825.3115234375
===> Epoch[1](59/26479): Loss: 10783.1386718750
===> Epoch[1](60/26479): Loss: 10395.6660156250
===> Epoch[1](61/26479): Loss: 10281.5859375000
===> Epoch[1](62/26479): Loss: 10560.0576171875
===> Epoch[1](63/26479): Loss: 14112.1025390625
===> Epoch[1](64/26479): Loss: 14996.0898437500
===> Epoch[1](65/26479): Loss: 12978.0273437500
===> Epoch[1](66/26479): Loss: 15490.4833984375
===> Epoch[1](67/26479): Loss: 13971.5976562500
===> Epoch[1](68/26479): Loss: 9680.7421875000
===> Epoch[1](69/26479): Loss: 18088.7539062500
===> Epoch[1](70/26479): Loss: 21003.6816406250
===> Epoch[1](71/26479): Loss: 15949.0302734375
===> Epoch[1](72/26479): Loss: 14966.2470703125
===> Epoch[1](73/26479): Loss: 9859.1562500000
===> Epoch[1](74/26479): Loss: 13964.4589843750
===> Epoch[1](75/26479): Loss: 10246.8212890625
===> Epoch[1](76/26479): Loss: 12577.7773437500
===> Epoch[1](77/26479): Loss: 14012.9316406250
===> Epoch[1](78/26479): Loss: 13645.0175781250
===> Epoch[1](79/26479): Loss: 9267.9101562500
===> Epoch[1](80/26479): Loss: 11821.2324218750
===> Epoch[1](81/26479): Loss: 15819.5009765625
===> Epoch[1](82/26479): Loss: 11328.9414062500
===> Epoch[1](83/26479): Loss: 17523.1601562500
===> Epoch[1](84/26479): Loss: 11734.5195312500
===> Epoch[1](85/26479): Loss: 13247.5253906250
===> Epoch[1](86/26479): Loss: 9651.6318359375
===> Epoch[1](87/26479): Loss: 16144.4121093750
===> Epoch[1](88/26479): Loss: 19139.4726562500
===> Epoch[1](89/26479): Loss: 12384.3017578125
===> Epoch[1](90/26479): Loss: 16535.4121093750
===> Epoch[1](91/26479): Loss: 14916.2382812500
===> Epoch[1](92/26479): Loss: 11086.3837890625
===> Epoch[1](93/26479): Loss: 12775.0625000000
===> Epoch[1](94/26479): Loss: 17999.1894531250
===> Epoch[1](95/26479): Loss: 15276.1093750000
===> Epoch[1](96/26479): Loss: 15271.1347656250
===> Epoch[1](97/26479): Loss: 13783.2812500000
===> Epoch[1](98/26479): Loss: 22279.3046875000
===> Epoch[1](99/26479): Loss: 12429.6015625000
===> Epoch[1](100/26479): Loss: 16003.5537109375
===> Epoch[1](101/26479): Loss: 10475.6835937500
===> Epoch[1](102/26479): Loss: 22305.5214843750
===> Epoch[1](103/26479): Loss: 13582.8955078125
===> Epoch[1](104/26479): Loss: 9487.4179687500
===> Epoch[1](105/26479): Loss: 11502.4121093750
===> Epoch[1](106/26479): Loss: 13164.4160156250
===> Epoch[1](107/26479): Loss: 12675.4941406250
===> Epoch[1](108/26479): Loss: 14843.0234375000
===> Epoch[1](109/26479): Loss: 13365.2753906250
===> Epoch[1](110/26479): Loss: 11633.4326171875
===> Epoch[1](111/26479): Loss: 8557.0087890625
===> Epoch[1](112/26479): Loss: 11885.0644531250
===> Epoch[1](113/26479): Loss: 12768.1992187500
===> Epoch[1](114/26479): Loss: 14603.4580078125
===> Epoch[1](115/26479): Loss: 11914.4238281250
===> Epoch[1](116/26479): Loss: 18693.3242187500
===> Epoch[1](117/26479): Loss: 13949.1572265625
===> Epoch[1](118/26479): Loss: 10531.8837890625
===> Epoch[1](119/26479): Loss: 15935.3105468750
===> Epoch[1](120/26479): Loss: 13946.5947265625
===> Epoch[1](121/26479): Loss: 13385.3359375000
===> Epoch[1](122/26479): Loss: 11595.0830078125
===> Epoch[1](123/26479): Loss: 17089.6074218750
===> Epoch[1](124/26479): Loss: 19947.1894531250
===> Epoch[1](125/26479): Loss: 13996.0732421875
===> Epoch[1](126/26479): Loss: 16436.3164062500
===> Epoch[1](127/26479): Loss: 10583.0957031250
===> Epoch[1](128/26479): Loss: 12255.5234375000
===> Epoch[1](129/26479): Loss: 16760.6328125000
===> Epoch[1](130/26479): Loss: 12754.9882812500
===> Epoch[1](131/26479): Loss: 13633.8964843750
===> Epoch[1](132/26479): Loss: 13599.3486328125
