nohup: ignoring input
2118371 data samples found
Train Epoch: 0 [0/52959 (0.412850946187973)]
Train Epoch: 0 [100/52959 (0.01707475818693638)]
Train Epoch: 0 [200/52959 (0.019352635368704796)]
Train Epoch: 0 [300/52959 (0.012792680412530899)]
Train Epoch: 0 [400/52959 (0.007295061834156513)]
Train Epoch: 0 [500/52959 (0.013414675369858742)]
Train Epoch: 0 [600/52959 (0.010010218247771263)]
Train Epoch: 0 [700/52959 (0.014904886484146118)]
Train Epoch: 0 [800/52959 (0.011354241520166397)]
Train Epoch: 0 [900/52959 (0.010970484465360641)]
Train Epoch: 0 [1000/52959 (0.017131736502051353)]
Train Epoch: 0 [1100/52959 (0.008724618703126907)]
Train Epoch: 0 [1200/52959 (0.011641950346529484)]
Train Epoch: 0 [1300/52959 (0.011584856547415257)]
Train Epoch: 0 [1400/52959 (0.014440990053117275)]
Train Epoch: 0 [1500/52959 (0.017157651484012604)]
Train Epoch: 0 [1600/52959 (0.011820724233984947)]
Train Epoch: 0 [1700/52959 (0.009605122730135918)]
Train Epoch: 0 [1800/52959 (0.012838194146752357)]
Train Epoch: 0 [1900/52959 (0.007557954639196396)]
Train Epoch: 0 [2000/52959 (0.016007810831069946)]
Train Epoch: 0 [2100/52959 (0.013440841808915138)]
Train Epoch: 0 [2200/52959 (0.010665234178304672)]
Train Epoch: 0 [2300/52959 (0.008292173966765404)]
Train Epoch: 0 [2400/52959 (0.012859959155321121)]
Train Epoch: 0 [2500/52959 (0.010079896077513695)]
Train Epoch: 0 [2600/52959 (0.011446788907051086)]
Train Epoch: 0 [2700/52959 (0.011137673631310463)]
Train Epoch: 0 [2800/52959 (0.018638495355844498)]
Train Epoch: 0 [2900/52959 (0.010930943302810192)]
Train Epoch: 0 [3000/52959 (0.02271834760904312)]
Train Epoch: 0 [3100/52959 (0.016412783414125443)]
Train Epoch: 0 [3200/52959 (0.008740680292248726)]
Train Epoch: 0 [3300/52959 (0.010320757515728474)]
Train Epoch: 0 [3400/52959 (0.009237553924322128)]
Train Epoch: 0 [3500/52959 (0.015075797215104103)]
Train Epoch: 0 [3600/52959 (0.011411167681217194)]
Train Epoch: 0 [3700/52959 (0.014602800831198692)]
Train Epoch: 0 [3800/52959 (0.02297157794237137)]
Train Epoch: 0 [3900/52959 (0.00741230696439743)]
Train Epoch: 0 [4000/52959 (0.017162594944238663)]
Train Epoch: 0 [4100/52959 (0.018631495535373688)]
Train Epoch: 0 [4200/52959 (0.005355469416826963)]
Train Epoch: 0 [4300/52959 (0.009408773854374886)]
Train Epoch: 0 [4400/52959 (0.0106861786916852)]
Train Epoch: 0 [4500/52959 (0.012545185163617134)]
Train Epoch: 0 [4600/52959 (0.006523171439766884)]
Train Epoch: 0 [4700/52959 (0.012709831818938255)]
Train Epoch: 0 [4800/52959 (0.013862865045666695)]
Train Epoch: 0 [4900/52959 (0.010477440431714058)]
Train Epoch: 0 [5000/52959 (0.01872001215815544)]
Train Epoch: 0 [5100/52959 (0.010543424636125565)]
Train Epoch: 0 [5200/52959 (0.008435916155576706)]
Train Epoch: 0 [5300/52959 (0.011686576530337334)]
Train Epoch: 0 [5400/52959 (0.015020372346043587)]
Train Epoch: 0 [5500/52959 (0.011782947927713394)]
Train Epoch: 0 [5600/52959 (0.015188056975603104)]
Train Epoch: 0 [5700/52959 (0.012507791630923748)]
Train Epoch: 0 [5800/52959 (0.011287450790405273)]
Train Epoch: 0 [5900/52959 (0.011995022185146809)]
Train Epoch: 0 [6000/52959 (0.007819721475243568)]
Train Epoch: 0 [6100/52959 (0.01668238453567028)]
Train Epoch: 0 [6200/52959 (0.006006105802953243)]
Train Epoch: 0 [6300/52959 (0.016573306173086166)]
Train Epoch: 0 [6400/52959 (0.015695787966251373)]
Train Epoch: 0 [6500/52959 (0.008467687293887138)]
Train Epoch: 0 [6600/52959 (0.008787286467850208)]
Train Epoch: 0 [6700/52959 (0.013624895364046097)]
Train Epoch: 0 [6800/52959 (0.012156181037425995)]
Train Epoch: 0 [6900/52959 (0.007988294586539268)]
Train Epoch: 0 [7000/52959 (0.01109359972178936)]
Train Epoch: 0 [7100/52959 (0.009600348770618439)]
Train Epoch: 0 [7200/52959 (0.012617198750376701)]
Train Epoch: 0 [7300/52959 (0.015496079809963703)]
Train Epoch: 0 [7400/52959 (0.010972418822348118)]
Train Epoch: 0 [7500/52959 (0.008406145498156548)]
Train Epoch: 0 [7600/52959 (0.010754024609923363)]
Train Epoch: 0 [7700/52959 (0.009364817291498184)]
Train Epoch: 0 [7800/52959 (0.008856058120727539)]
Train Epoch: 0 [7900/52959 (0.016816169023513794)]
Train Epoch: 0 [8000/52959 (0.008633689023554325)]
Train Epoch: 0 [8100/52959 (0.009710881859064102)]
Train Epoch: 0 [8200/52959 (0.0128400269895792)]
Train Epoch: 0 [8300/52959 (0.006822091527283192)]
Train Epoch: 0 [8400/52959 (0.008696530014276505)]
Train Epoch: 0 [8500/52959 (0.008201228454709053)]
Train Epoch: 0 [8600/52959 (0.013081739656627178)]
Train Epoch: 0 [8700/52959 (0.015572858974337578)]
Train Epoch: 0 [8800/52959 (0.007497115060687065)]
Train Epoch: 0 [8900/52959 (0.006157247349619865)]
Train Epoch: 0 [9000/52959 (0.00946282409131527)]
Train Epoch: 0 [9100/52959 (0.018881019204854965)]
Train Epoch: 0 [9200/52959 (0.008016891777515411)]
Train Epoch: 0 [9300/52959 (0.010246164165437222)]
Train Epoch: 0 [9400/52959 (0.011189045384526253)]
Train Epoch: 0 [9500/52959 (0.00893794558942318)]
Train Epoch: 0 [9600/52959 (0.01314228493720293)]
Train Epoch: 0 [9700/52959 (0.01277792640030384)]
Train Epoch: 0 [9800/52959 (0.010489149950444698)]
Train Epoch: 0 [9900/52959 (0.00852696131914854)]
Train Epoch: 0 [10000/52959 (0.008471008390188217)]
Train Epoch: 0 [10100/52959 (0.008542129769921303)]
Train Epoch: 0 [10200/52959 (0.00887065939605236)]
Train Epoch: 0 [10300/52959 (0.009642001241445541)]
Train Epoch: 0 [10400/52959 (0.010123847983777523)]
Train Epoch: 0 [10500/52959 (0.008359848521649837)]
Train Epoch: 0 [10600/52959 (0.017888452857732773)]
Train Epoch: 0 [10700/52959 (0.0068025426007807255)]
Train Epoch: 0 [10800/52959 (0.012235776521265507)]
Train Epoch: 0 [10900/52959 (0.009916748851537704)]
Train Epoch: 0 [11000/52959 (0.010565171018242836)]
Train Epoch: 0 [11100/52959 (0.00796058401465416)]
Train Epoch: 0 [11200/52959 (0.00793129950761795)]
Train Epoch: 0 [11300/52959 (0.006987542845308781)]
Train Epoch: 0 [11400/52959 (0.010373173281550407)]
Train Epoch: 0 [11500/52959 (0.010817312635481358)]
Train Epoch: 0 [11600/52959 (0.008202236145734787)]
Train Epoch: 0 [11700/52959 (0.006881354376673698)]
Train Epoch: 0 [11800/52959 (0.010247303172945976)]
Train Epoch: 0 [11900/52959 (0.008395841345191002)]
Train Epoch: 0 [12000/52959 (0.008581969887018204)]
Train Epoch: 0 [12100/52959 (0.006869368255138397)]
Train Epoch: 0 [12200/52959 (0.007810691837221384)]
Train Epoch: 0 [12300/52959 (0.010133875533938408)]
Train Epoch: 0 [12400/52959 (0.010440418496727943)]
Train Epoch: 0 [12500/52959 (0.007386635523289442)]
Train Epoch: 0 [12600/52959 (0.009191579185426235)]
Train Epoch: 0 [12700/52959 (0.007545337080955505)]
Train Epoch: 0 [12800/52959 (0.00865307729691267)]
Train Epoch: 0 [12900/52959 (0.009674988687038422)]
Train Epoch: 0 [13000/52959 (0.011655951850116253)]
Train Epoch: 0 [13100/52959 (0.009949037805199623)]
Train Epoch: 0 [13200/52959 (0.008191403932869434)]
Train Epoch: 0 [13300/52959 (0.010528089478611946)]
Train Epoch: 0 [13400/52959 (0.012412570416927338)]
Train Epoch: 0 [13500/52959 (0.007107195444405079)]
Train Epoch: 0 [13600/52959 (0.016970235854387283)]
Train Epoch: 0 [13700/52959 (0.009138902649283409)]
Train Epoch: 0 [13800/52959 (0.009564049541950226)]
Train Epoch: 0 [13900/52959 (0.011293992400169373)]
Train Epoch: 0 [14000/52959 (0.01027881819754839)]
Train Epoch: 0 [14100/52959 (0.018757954239845276)]
Train Epoch: 0 [14200/52959 (0.005793529562652111)]
Train Epoch: 0 [14300/52959 (0.00970834493637085)]
Train Epoch: 0 [14400/52959 (0.012401076033711433)]
Train Epoch: 0 [14500/52959 (0.005761889740824699)]
Train Epoch: 0 [14600/52959 (0.008542373776435852)]
Train Epoch: 0 [14700/52959 (0.008118465542793274)]
Train Epoch: 0 [14800/52959 (0.008030282333493233)]
Train Epoch: 0 [14900/52959 (0.014340115711092949)]
Train Epoch: 0 [15000/52959 (0.013460150919854641)]
Train Epoch: 0 [15100/52959 (0.005659168586134911)]
Train Epoch: 0 [15200/52959 (0.020099442452192307)]
Train Epoch: 0 [15300/52959 (0.00998474657535553)]
Train Epoch: 0 [15400/52959 (0.007328989915549755)]
Train Epoch: 0 [15500/52959 (0.00871993787586689)]
Train Epoch: 0 [15600/52959 (0.007469027303159237)]
Train Epoch: 0 [15700/52959 (0.0059586381539702415)]
Train Epoch: 0 [15800/52959 (0.010603198781609535)]
Train Epoch: 0 [15900/52959 (0.00874306820333004)]
Train Epoch: 0 [16000/52959 (0.007059310097247362)]
Train Epoch: 0 [16100/52959 (0.008848084136843681)]
Train Epoch: 0 [16200/52959 (0.008148526772856712)]
Train Epoch: 0 [16300/52959 (0.0069289677776396275)]
Train Epoch: 0 [16400/52959 (0.004756812937557697)]
Train Epoch: 0 [16500/52959 (0.0057258401066064835)]
Train Epoch: 0 [16600/52959 (0.005892136134207249)]
Train Epoch: 0 [16700/52959 (0.005799383856356144)]
Train Epoch: 0 [16800/52959 (0.007888402789831161)]
Train Epoch: 0 [16900/52959 (0.008357565850019455)]
Train Epoch: 0 [17000/52959 (0.027135880663990974)]
Train Epoch: 0 [17100/52959 (0.015302484855055809)]
Train Epoch: 0 [17200/52959 (0.005424446426331997)]
Train Epoch: 0 [17300/52959 (0.022652653977274895)]
Train Epoch: 0 [17400/52959 (0.009049506857991219)]
Train Epoch: 0 [17500/52959 (0.009727893397212029)]
Train Epoch: 0 [17600/52959 (0.007687336299568415)]
Train Epoch: 0 [17700/52959 (0.01132998988032341)]
Train Epoch: 0 [17800/52959 (0.009280002675950527)]
Train Epoch: 0 [17900/52959 (0.007718577980995178)]
Train Epoch: 0 [18000/52959 (0.011759089305996895)]
Train Epoch: 0 [18100/52959 (0.007892231456935406)]
Train Epoch: 0 [18200/52959 (0.0069084856659173965)]
Train Epoch: 0 [18300/52959 (0.01082327589392662)]
Train Epoch: 0 [18400/52959 (0.007819289341568947)]
Train Epoch: 0 [18500/52959 (0.00620591826736927)]
Train Epoch: 0 [18600/52959 (0.010909141041338444)]
Train Epoch: 0 [18700/52959 (0.011294575408101082)]
Train Epoch: 0 [18800/52959 (0.00610321294516325)]
Train Epoch: 0 [18900/52959 (0.009473989717662334)]
Train Epoch: 0 [19000/52959 (0.00727333128452301)]
Train Epoch: 0 [19100/52959 (0.012635834515094757)]
Train Epoch: 0 [19200/52959 (0.011253802105784416)]
Train Epoch: 0 [19300/52959 (0.011148430407047272)]
Train Epoch: 0 [19400/52959 (0.006909288465976715)]
Train Epoch: 0 [19500/52959 (0.01353561133146286)]
Train Epoch: 0 [19600/52959 (0.007487325929105282)]
Train Epoch: 0 [19700/52959 (0.007015294395387173)]
Train Epoch: 0 [19800/52959 (0.007672634907066822)]
Train Epoch: 0 [19900/52959 (0.007188994437456131)]
Train Epoch: 0 [20000/52959 (0.008158977143466473)]
Train Epoch: 0 [20100/52959 (0.007680265232920647)]
Train Epoch: 0 [20200/52959 (0.007852811366319656)]
Train Epoch: 0 [20300/52959 (0.003646748373284936)]
Train Epoch: 0 [20400/52959 (0.009513182565569878)]
Train Epoch: 0 [20500/52959 (0.00929504819214344)]
Train Epoch: 0 [20600/52959 (0.009425986558198929)]
Train Epoch: 0 [20700/52959 (0.00648334389552474)]
Train Epoch: 0 [20800/52959 (0.010886067524552345)]
Train Epoch: 0 [20900/52959 (0.006776919588446617)]
Train Epoch: 0 [21000/52959 (0.005711458157747984)]
Train Epoch: 0 [21100/52959 (0.007840113714337349)]
Train Epoch: 0 [21200/52959 (0.012107012793421745)]
Train Epoch: 0 [21300/52959 (0.007375866174697876)]
Train Epoch: 0 [21400/52959 (0.014666040427982807)]
Train Epoch: 0 [21500/52959 (0.0065152812749147415)]
Train Epoch: 0 [21600/52959 (0.006551787257194519)]
Train Epoch: 0 [21700/52959 (0.010701129212975502)]
Train Epoch: 0 [21800/52959 (0.005219395738095045)]
Train Epoch: 0 [21900/52959 (0.008350968360900879)]
Train Epoch: 0 [22000/52959 (0.006702824495732784)]
Train Epoch: 0 [22100/52959 (0.007374097127467394)]
Train Epoch: 0 [22200/52959 (0.010856911540031433)]
Train Epoch: 0 [22300/52959 (0.010774482041597366)]
Train Epoch: 0 [22400/52959 (0.01611402817070484)]
Train Epoch: 0 [22500/52959 (0.006190739572048187)]
Train Epoch: 0 [22600/52959 (0.006983458995819092)]
Train Epoch: 0 [22700/52959 (0.009553561918437481)]
Train Epoch: 0 [22800/52959 (0.009028365835547447)]
Train Epoch: 0 [22900/52959 (0.009028592146933079)]
Train Epoch: 0 [23000/52959 (0.013522084802389145)]
